model,optimizer,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,true_negatives,false_positives,false_negatives,true_positives,best_val_auc,params,epochs_run,train_seconds,split
16 (carried forward),adam,0.5,0.8074534161490683,0.6680327868852459,0.5451505016722408,0.6003683241252302,0.8514694715072786,0.6644047762654037,0.4107580780982971,747,81,136,163,0.8517076969146729,513,45,17.44,validation
32-16,adam,0.5,0.8110026619343389,0.7107843137254902,0.48494983277591974,0.5765407554671969,0.8456125894689223,0.6520974231784855,0.4168769419193268,769,59,154,145,0.84586101770401,1537,20,7.62,validation
64-32,adam,0.5,0.8101153504880213,0.7053140096618358,0.4882943143812709,0.5770750988142292,0.8449380382272632,0.6506683954593351,0.41978541016578674,767,61,153,146,0.8452147245407104,4097,19,8.54,validation
64-32 + dropout 0.3,adam,0.5,0.8136645962732919,0.6943231441048034,0.5317725752508361,0.6022727272727273,0.8467637697316336,0.6543495568483884,0.4171102046966553,758,70,140,159,0.8466547727584839,4097,23,9.95,validation
64-32 + L2 1e-4,adam,0.5,0.808340727595386,0.7195767195767195,0.45484949832775917,0.5573770491803278,0.8452732942335968,0.6544277952161461,0.4214935600757599,775,53,163,136,0.8451682925224304,4097,17,7.61,validation
64-32 + dropout + batchnorm,adam,0.5,0.808340727595386,0.6426116838487973,0.6254180602006689,0.6338983050847458,0.8484723635952369,0.6598527592854712,0.42066988348960876,724,104,112,187,0.8485309481620789,4481,18,12.67,validation
32-16 + dropout 0.2 + class weight,adam,0.5,0.7533274179236912,0.5226781857451404,0.8093645484949833,0.6351706036745407,0.8476322039649071,0.6556782631515388,0.49071410298347473,607,221,57,242,0.847660481929779,1537,19,11.09,validation
