model,optimizer,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,true_negatives,false_positives,false_negatives,true_positives,loss_function,best_val_auc,epochs_run,train_seconds,split
Binary cross-entropy,adam,0.5,0.8136645962732919,0.6960352422907489,0.5284280936454849,0.6007604562737643,0.844950155914239,0.6560091700462182,0.41821759939193726,759,69,141,158,binary_crossentropy,0.8517076969146729,80,30.07,validation
Mean squared error,adam,0.5,0.8021295474711624,0.6461538461538462,0.5618729096989966,0.6010733452593918,0.839432569111208,0.6372850691968897,0.44830456376075745,736,92,131,168,mse,0.8488358855247498,80,28.07,validation
Mean absolute error,adam,0.5,0.8136645962732919,0.7089201877934272,0.5050167224080268,0.58984375,0.8403494740923853,0.649941742561158,2.100672483444214,766,62,148,151,mae,0.8196402788162231,80,26.14,validation
