config,tuned_threshold,val_f1,val_recall,val_precision,val_roc_auc,epochs_run
16 (carried forward),0.39,0.6613924050632911,0.6989966555183946,0.6276276276276276,0.8514694715072786,45
64-32 + dropout + batchnorm,0.41,0.6498516320474778,0.7324414715719063,0.584,0.8484723635952369,18
64-32 + dropout 0.3,0.4,0.6494345718901454,0.6722408026755853,0.628125,0.8467637697316336,23
64-32 + L2 1e-4,0.31,0.6436420722135008,0.68561872909699,0.606508875739645,0.8452732942335968,17
32-16,0.31,0.6427503736920778,0.7190635451505016,0.581081081081081,0.8456125894689223,20
64-32,0.32,0.640625,0.68561872909699,0.6011730205278593,0.8449380382272632,19
32-16 + dropout 0.2 + class weight,0.64,0.6394984326018809,0.6822742474916388,0.6017699115044248,0.8476322039649071,19
