model,optimizer,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,true_negatives,false_positives,false_negatives,true_positives,epochs_to_auc_0.83,final_train_loss,final_val_loss,best_val_auc,epochs_run,train_seconds,split
SGD,sgd,0.5,0.8243123336291038,0.7130801687763713,0.5652173913043478,0.6305970149253731,0.8484804420532208,0.6643050265708933,0.4134082496166229,760,68,130,169,31,0.40983283519744873,0.4134083092212677,0.8486420512199402,100,37.46,validation
Momentum (0.9),momentum,0.5,0.805678793256433,0.6652892561983471,0.5384615384615384,0.5951940850277264,0.8449097636243195,0.6559060061391432,0.4188218414783478,747,81,138,161,4,0.38997167348861694,0.41882187128067017,0.8500416278839111,100,37.26,validation
Nesterov (0.9),nesterov,0.5,0.805678793256433,0.6626016260162602,0.5451505016722408,0.5981651376146789,0.8448936067083515,0.6557160500696533,0.41944772005081177,745,83,136,163,4,0.39110684394836426,0.41944774985313416,0.8498153686523438,100,36.42,validation
AdaGrad,adagrad,0.5,0.8189884649511979,0.7021276595744681,0.5518394648829431,0.6179775280898876,0.8483754220994297,0.6647858995857299,0.4137275516986847,758,70,134,165,24,0.4090909957885742,0.4137275218963623,0.8485410213470459,100,40.05,validation
RMSProp,rmsprop,0.5,0.7932564330079858,0.6666666666666666,0.4414715719063545,0.5311871227364185,0.8294314381270903,0.6217715101754595,0.45861172676086426,762,66,167,132,-1,0.3869553208351135,0.4586116671562195,0.8441302180290222,100,38.73,validation
Adam,adam,0.5,0.7968056787932565,0.631578947368421,0.5618729096989966,0.5946902654867257,0.8218114326337389,0.5973323342625207,0.48463883996009827,730,98,131,168,-1,0.37705308198928833,0.48464053869247437,0.8436092138290405,100,38.28,validation
Nadam,nadam,0.5,0.7932564330079858,0.6542056074766355,0.4682274247491639,0.5458089668615984,0.834472395909069,0.6163940107219628,0.45624208450317383,754,74,159,140,9,0.3705121874809265,0.45686373114585876,0.8475534319877625,100,41.88,validation
