optimizer,optimizer_key,best_learning_rate,best_val_auc,val_f1
Adam,adam,0.003,0.8517076969146729,0.6003683241252302
Nadam,nadam,0.003,0.851467490196228,0.5951035781544256
AdaGrad,adagrad,0.1,0.8506232500076294,0.6083650190114068
Nesterov (0.9),nesterov,0.03,0.8501930236816406,0.5988483685220729
SGD,sgd,0.1,0.8501143455505371,0.5972495088408645
Momentum (0.9),momentum,0.01,0.8499526977539062,0.6243194192377496
RMSProp,rmsprop,0.001,0.8479876518249512,0.6049149338374291
