model,optimizer,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,true_negatives,false_positives,false_negatives,true_positives,batch_size,updates_per_epoch,total_updates,seconds_per_epoch,epochs_run,train_seconds,split
Mini-batch 16,sgd,0.5,0.8216503992901508,0.7094017094017094,0.5551839464882943,0.6228893058161351,0.8488843649524179,0.6645816656604053,0.41341066360473633,760,68,133,166,16,282,16920,0.626,60,37.56,validation
Mini-batch 32,sgd,0.5,0.8234250221827861,0.7049180327868853,0.5752508361204013,0.6335174953959485,0.8474262032863167,0.6607279403766929,0.41475018858909607,756,72,127,172,32,141,8460,0.326,60,19.56,validation
Mini-batch 64,sgd,0.5,0.8172138420585625,0.6929460580912863,0.5585284280936454,0.6185185185185185,0.8448855282503676,0.6563960522163188,0.4177212119102478,754,74,132,167,64,71,4260,0.234,60,14.07,validation
Mini-batch 128,sgd,0.5,0.8074534161490683,0.6722689075630253,0.5351170568561873,0.595903165735568,0.8409392015252128,0.6465549297243836,0.4223630130290985,750,78,139,160,128,36,2160,0.178,60,10.66,validation
Full-batch GD,sgd,0.5,0.769299023957409,0.5960591133004927,0.40468227424749165,0.4820717131474104,0.7645856558900037,0.5481981141448269,0.5644687414169312,746,82,178,121,4507,1,60,0.118,60,7.11,validation
Stochastic GD (batch=1),sgd,0.5,0.8118899733806566,0.704225352112676,0.5016722408026756,0.5859375,0.8448855282503676,0.6567554477416171,0.420945942401886,765,63,149,150,1,4507,13521,6.959,3,20.88,validation
